         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.383   19.383 /home/pi/Lightshow/git/Pixil.py:149(process_script)
        1    0.001    0.001   17.749   17.749 /home/pi/Lightshow/git/shared/command_queue.py:150(wait_until_empty)
      178   17.738    0.100   17.738    0.100 {built-in method time.sleep}
   1313/1    0.264    0.000    1.617    1.617 /home/pi/Lightshow/git/Pixil.py:588(process_lines)
     3840    0.037    0.000    0.537    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:407(evaluate_condition)
11975/11015    0.283    0.000    0.503    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:27(evaluate_math_expression)
     3840    0.098    0.000    0.489    0.000 /home/pi/Lightshow/git/pixil_utils/math_functions.py:314(evaluate_simple_condition)
    237/3    0.004    0.000    0.450    0.150 <frozen importlib._bootstrap>:1167(_find_and_load)
    237/3    0.003    0.000    0.449    0.150 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    218/3    0.003    0.000    0.448    0.149 <frozen importlib._bootstrap>:666(_load_unlocked)
    171/3    0.001    0.000    0.448    0.149 <frozen importlib._bootstrap_external>:934(exec_module)
    554/6    0.001    0.000    0.446    0.074 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    172/3    0.003    0.000    0.446    0.149 {built-in method builtins.exec}
        1    0.000    0.000    0.433    0.433 /home/pi/Lightshow/git/Pixil.py:1(<module>)
    396/8    0.002    0.000    0.401    0.050 {built-in method builtins.__import__}
   237/21    0.002    0.000    0.378    0.018 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        1    0.000    0.000    0.358    0.358 /home/pi/Lightshow/git/rgb_matrix_lib/__init__.py:1(<module>)
     1040    0.008    0.000    0.348    0.000 /home/pi/Lightshow/git/Pixil.py:926(<listcomp>)
     4160    0.064    0.000    0.340    0.000 /home/pi/Lightshow/git/Pixil.py:217(parse_value)
     7265    0.266    0.000    0.287    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.260    0.260 /home/pi/Lightshow/git/rgb_matrix_lib/commands.py:1(<module>)
        1    0.000    0.000    0.253    0.253 /home/pi/Lightshow/git/rgb_matrix_lib/utils.py:1(<module>)
