A,010,101,111,101,101
B,110,101,110,101,110
C,011,100,100,100,011
D,110,101,101,101,110
E,111,100,110,100,111
F,111,100,110,100,100
G,011,100,101,101,011
H,101,101,111,101,101
I,111,010,010,010,111
J,001,001,001,101,010
K,101,101,110,101,101
L,100,100,100,100,111
M,10001,11011,10101,10001,10001
N,1001,1101,1011,1001,1001
O,010,101,101,101,010
P,110,101,110,100,100
Q,010,101,101,101,011
R,110,101,110,101,101
S,011,100,010,001,110
T,111,010,010,010,010
U,101,101,101,101,010
V,101,101,101,101,010
W,10001,10001,10101,11011,10001
X,101,101,010,101,101
Y,101,101,010,010,010
Z,111,001,010,100,111
a,000,000,011,101,011
b,100,100,110,101,110
c,000,011,100,100,011
d,001,001,011,101,011
e,000,011,111,100,011
f,011,100,110,100,100
g,000,011,101,011,001,110
h,100,100,110,101,101
i,1,0,1,1,1
j,000,001,000,001,101,011
k,100,100,101,110,101
l,10,10,10,10,01
m,00000,00000,01010,10101,10101
n,000,000,110,101,101
o,000,010,101,101,010
p,000,011,101,110,100,100
q,000,011,101,011,001,001
r,000,011,100,100,100
s,000,011,010,001,110
t,010,111,010,010,001
u,000,000,101,101,011
v,000,000,101,101,010
w,00000,00000,10001,10101,01010
x,000,101,010,101,101
y,000,101,101,011,001,110
z,000,111,010,100,111
0,010,101,101,101,010
1,001,011,001,001,001
2,110,001,010,100,111
3,110,001,110,001,110
4,101,101,111,001,001
5,111,100,110,001,110
6,011,100,110,101,011
7,111,001,010,010,010
8,011,101,010,101,011
9,011,101,011,001,010
 ,00,00,00,00,00
.,000,000,000,000,010
,,000,000,000,010,010
!,001,001,001,000,001
?,110,001,001,000,001
;,000,010,000,010,010
:,000,010,000,010,000
',001,001,000,000,000
",101,101,000,000,000
(,010,100,100,100,010
),010,001,001,001,010
`,001,010,000,000,000
~,010,000,101,000,010
@,0110,1001,1010,1000,0110
#,0110,1111,0110,1111,0110
$,010,111,110,111,010
%,1001,0010,0100,1000,1001
^,010,101,000,000,000
&,0110,1001,0110,1001,0110
*,010,111,010,111,010
_,000,000,000,000,111
-,000,000,111,000,000
+,010,010,111,010,010
=,000,111,000,111,000
|,010,010,010,010,010
,100,100,010,001,001
[,110,100,100,100,110
],011,001,001,001,011
{,011,010,110,010,011
},110,010,011,010,110
<,001,010,100,010,001
>",100,010,001,010,100
